Country,2013_energy_consumption,2013_median_masked,2014_energy_consumption,2014_median_masked,2015_energy_consumption,2015_median_masked,2016_energy_consumption,2016_median_masked,2017_energy_consumption,2017_median_masked,2018_energy_consumption,2018_median_masked,2019_energy_consumption,2019_median_masked,2020_energy_consumption,2020_median_masked,2021_energy_consumption,2021_median_masked
Japan,5575.617,2463901.795,5431.2173,2317188.494,5363.93,2264114.785,5295.605,2221828.758,5354.6772,2472237.346,5316.556,2458169.504,5205.5366,2462730.296,4825.2485,2390411.067,5037.4814,2484939.934
Jordan,98.46778,250344.0881,101.033775,281989.4368,109.15669,296375.3586,116.34625,335170.8206,120.371185,383667.9371,117.50013,436789.9217,120.44836,469284.3768,107.51725,454715.7917,102.37639,497942.1251
Kazakhstan,731.60547,1950217.795,769.1109,1991249.134,635.9098,1661998.494,711.3266,1270547.484,764.92584,1251932.255,789.19745,1171010.513,798.71204,1141961.039,735.9369,1127816.924,822.2053,1317583.61
Kenya,72.58364,57914.61217,75.852745,67362.72049,89.5755,83389.80861,94.18906,89322.49329,94.94264,122622.7447,102.26798,134311.435,99.16891,148405.6507,98.88311,142965.3445,103.50374,157846.701
Kiribati,0.24217412,11.28466951,0.24384083,14.12116293,0.26302695,21.00495418,0.28223434,9.384166444,0.3183175,18.1573036,0.32035,25.29592062,0.32211494,24.86250394,0.30576795,23.28336679,0.31533784,23.30919828
Kuwait,424.3276,569395.6474,413.6533,628369.3141,444.58252,575939.3856,442.9686,622456.8355,445.47583,593716.273,459.94553,640367.9187,420.26105,626305.5635,397.88113,643385.4644,424.15015,664307.2854
Kyrgyzstan,71.8661,95342.72167,73.127846,99960.02994,65.63956,92137.16979,66.99369,96811.28049,69.38583,121485.9406,73.30649,127023.7166,66.91757,144190.6078,67.0747,160167.8047,60.542263,169015.8713
Lao People's Democratic Republic,47.307285,29819.06219,48.08162,30977.40314,70.62649,35392.43898,120.128654,34202.6728,121.92248,45541.47052,126.88351,46656.93856,131.63283,45026.78057,143.98279,48249.03573,139.94064,54141.80471
Latvia,44.23667,130085.796,40.747486,108180.5081,41.74564,102637.5396,44.49915,116791.4212,48.978153,127759.6598,43.564484,134685.8529,44.83716,147376.1734,40.858128,118113.0447,42.6252,171468.601
Lebanon,89.2734,159552.8797,91.99911,167480.0679,101.51782,164644.5643,104.42425,180445.7676,111.53107,215286.8857,105.1971,221704.6979,106.661156,223802.3579,103.86615,185374.0623,105.31844,136760.0374
Lesotho,4.2373376,9648.161883,4.3456836,8404.327735,4.2430806,7617.939615,4.593167,7343.329862,4.89175,8737.449766,4.7961416,8596.792367,4.871765,10620.20341,4.7167816,10321.67182,4.8659377,10366.10677
Liberia,3.6788895,2455.219894,4.844483,2341.9127,4.862246,2463.222992,5.590125,2333.966247,4.831436,3200.455503,5.4881964,3725.784741,5.4879627,3730.545287,5.240454,4001.247112,5.528998,5307.324016
Libyan Arab Jamahiriya,231.87094,1106876.732,226.45312,945857.0198,180.20953,861081.0283,176.38931,847337.5291,199.04042,1018644.335,205.10458,1133217.283,212.98204,1163599.306,186.52736,718167.2687,190.40862,1335010.44
Lithuania,63.415512,137619.1965,61.20458,125000.6671,64.11229,116816.4636,65.726395,129442.9809,69.15024,152676.2645,70.969444,169516.0864,70.59712,170532.0318,70.29448,156210.9514,70.14949,222903.1017
Luxembourg,45.692364,53338.07662,44.27421,50589.72249,43.034466,51376.29136,42.459232,51711.83459,44.354897,53877.3947,46.43095,59129.22411,47.288246,55893.91091,40.540794,58203.71333,43.215237,59515.24744
