Country,2013_energy_consumption,2013_minimum,2014_energy_consumption,2014_minimum,2015_energy_consumption,2015_minimum,2016_energy_consumption,2016_minimum,2017_energy_consumption,2017_minimum,2018_energy_consumption,2018_minimum,2019_energy_consumption,2019_minimum,2020_energy_consumption,2020_minimum,2021_energy_consumption,2021_minimum
Rwanda,4.3376565,-2236.002084,4.586371,-2377.738101,5.078819,1673.064064,5.124537,-2892.543386,5.6115375,16145.58466,6.1547008,20235.58707,6.7457433,13962.32489,6.532406,24639.70211,6.3453274,31096.23878
Saint Kitts and Nevis,1.0313666,1176.932888,1.0442275,1364.74105,1.0690248,1421.381351,1.0972828,1303.977754,1.096758,1554.103686,1.109576,1670.552266,1.1092261,1773.275968,0.93629295,1574.719673,0.9955214,1550.169208
Saint Lucia,1.8109919,3455.493797,1.8287804,3212.835899,1.8412378,3491.1908,1.8611505,3183.5729,2.017484,3710.544981,1.8545495,3633.661517,2.7253225,3789.120644,2.296203,3662.350612,2.4433672,3922.466739
Saint Vincent and the Grenadines,0.9423633,532.9031526,0.97102666,416.8863483,0.9954189,536.7124603,0.99340993,506.2334621,1.1439728,747.1197491,1.0528235,805.2927095,0.9069623,811.8787289,0.81501937,706.3441284,0.8603289,804.4871283
Samoa,1.2030401,-721.7403844,1.2231327,-1832.919199,1.4193091,-1221.240126,1.5122826,-1349.569567,1.5256896,1097.923094,1.5136653,1403.170903,1.631313,738.7388185,1.5522943,1443.502848,1.5975583,2210.759664
Sao Tome and Principe,0.61556506,140.7263237,0.6155105,251.197744,0.6436711,382.6065278,0.66496056,396.5558909,0.676261,1282.305806,0.6657166,1106.365781,0.73365,931.0164344,0.70130306,938.0840637,0.7385749,1397.0498
Saudi Arabia,2731.2205,3903105.96,2931.7173,3532268.228,3056.6255,5001577.251,3179.844,4564685.048,3181.8193,6411109.844,3101.6775,6447058.199,2967.3794,6437088.732,2886.4114,6133987.892,2981.9167,7215672.213
Senegal,28.785759,-55004.03023,31.947577,-62385.25522,37.051647,8315.349694,35.844208,-63111.39809,38.039948,65145.41148,39.58574,94769.78529,44.056408,58762.52047,41.623035,27431.85362,42.279724,169880.6362
Serbia,190.3472,314668.7434,169.54901,335246.4318,187.72292,297788.4152,192.31615,333450.016,196.76714,431191.1414,196.85847,428515.1362,196.88872,487163.7437,192.86804,391188.8365,201.68896,515492.7374
Seychelles,3.7422965,619.0414848,4.3764224,642.6928645,4.535706,736.3070595,5.050324,695.4853401,5.2665887,944.53583,4.6721234,914.0242024,4.778491,837.0563477,4.612663,927.0120689,4.891292,1049.764381
Sierra Leone,4.8245325,-29395.38886,5.30554,-24853.83548,4.3349442,-12408.65548,4.432782,-33608.23912,4.4046493,20849.49441,4.4665146,23105.15358,4.1280594,8289.228527,3.9566472,6510.873642,4.1479893,51637.24689
Singapore,812.4909,98664.546,828.2924,92340.89447,878.4029,76265.87938,926.7514,93679.19446,950.00244,92669.05046,950.5948,99435.91986,929.6794,96415.76724,910.51807,96733.84613,910.7139,95469.50113
Slovakia,194.58702,151090.3287,181.1199,95787.37344,182.98993,98680.90993,184.74371,114051.6965,194.5947,197844.647,191.29565,190947.8498,184.84892,182531.8501,181.1254,162209.6225,195.22316,229032.4357
Slovenia,80.778595,55434.29537,82.86102,48070.57935,74.71551,52322.4768,79.85814,51277.28694,80.720924,79124.55208,82.39095,74979.9775,80.00229,68379.24117,77.29536,65272.5521,76.58192,86144.0419
Solomon Islands,1.6141902,-10129.19302,1.5197262,-19541.37383,1.3884337,-14704.16818,1.3345238,-16026.41363,1.3268349,1451.703692,1.3894602,3403.940667,1.3684785,-266.1312432,1.2975992,740.8524658,1.3393546,12479.07785
Somalia,3.416206,-299305.5964,3.416448,-334176.7132,3.5448291,-66965.27848,3.6269844,-405750.2633,3.627606,119629.9954,3.6413927,225756.0538,3.6369123,-17559.12901,3.5074317,19407.3657,3.7102253,277628.8606
South Africa,1430.1221,992334.6437,1446.7012,429908.8121,1417.7021,556944.3308,1482.439,705027.4913,1476.9373,1671255.321,1421.1741,1564323.266,1485.7,1555645.473,1392.8961,1555137.289,1406.0925,1931659.837
