Country,2013_energy_consumption,2013_maximum,2014_energy_consumption,2014_maximum,2015_energy_consumption,2015_maximum,2016_energy_consumption,2016_maximum,2017_energy_consumption,2017_maximum,2018_energy_consumption,2018_maximum,2019_energy_consumption,2019_maximum,2020_energy_consumption,2020_maximum,2021_energy_consumption,2021_maximum
Saint Kitts and Nevis,1.0313666,2604.973082,1.0442275,2819.718018,1.0690248,2959.093784,1.0972828,2867.278396,1.096758,3208.869505,1.109576,3542.026065,1.1092261,3427.706909,0.93629295,3178.908286,0.9955214,3188.8407
Saint Lucia,1.8109919,7005.88178,1.8287804,6747.883523,1.8412378,6734.261876,1.8611505,6479.20414,2.017484,7158.675287,1.8545495,6730.017738,2.7253225,6913.906044,2.296203,6948.752128,2.4433672,6792.517369
Saint Vincent and the Grenadines,0.9423633,1400.415254,0.97102666,1287.027268,0.9954189,1385.536307,0.99340993,1311.513929,1.1439728,1777.23778,1.0528235,1699.491312,0.9069623,1648.448919,0.81501937,1681.379528,0.8603289,1587.822156
Samoa,1.2030401,2893.279455,1.2231327,2872.445864,1.4193091,2883.519134,1.5122826,2140.688767,1.5256896,4656.013724,1.5136653,4437.087884,1.631313,4351.744269,1.5522943,5187.018713,1.5975583,5493.090854
Sao Tome and Principe,0.61556506,2560.851321,0.6155105,2473.278055,0.6436711,3625.291647,0.66496056,2669.726696,0.676261,4332.677849,0.6657166,3813.145505,0.73365,3532.413973,0.70130306,3767.287556,0.7385749,3947.700403
Saudi Arabia,2731.2205,10461965.33,2931.7173,11198603.07,3056.6255,13415005.18,3179.844,12859151.37,3181.8193,15187403.69,3101.6775,14514840.79,2967.3794,14540506.15,2886.4114,15095836.07,2981.9167,15311162.45
Senegal,28.785759,490518.4775,31.947577,452574.8886,37.051647,403223.7221,35.844208,454075.0758,38.039948,635899.5032,39.58574,545006.1085,44.056408,538763.7121,41.623035,586511.3908,42.279724,706927.5566
Serbia,190.3472,793160.8989,169.54901,920029.5708,187.72292,871212.3877,192.31615,1016418.002,196.76714,1082480.96,196.85847,987331.804,196.88872,1297488.686,192.86804,1020174.577,201.68896,1293311.811
Seychelles,3.7422965,2201.040708,4.3764224,2208.528445,4.535706,2488.40558,5.050324,2187.576456,5.2665887,2463.439321,4.6721234,2618.477481,4.778491,2380.373026,4.612663,2531.414332,4.891292,2671.700701
Sierra Leone,4.8245325,138690.1691,5.30554,157840.1641,4.3349442,122991.2005,4.432782,127704.6378,4.4046493,181799.095,4.4665146,172130.8615,4.1280594,143220.6292,3.9566472,161336.3366,4.1479893,171844.2277
Singapore,812.4909,114340.2829,828.2924,139535.323,878.4029,148176.2645,926.7514,140016.4789,950.00244,141075.2577,950.5948,144603.9269,929.6794,149276.5875,910.51807,141473.564,910.7139,132759.4218
Slovakia,194.58702,510359.2049,181.1199,480516.8377,182.98993,487788.2546,184.74371,476616.6562,194.5947,561519.1804,191.29565,482648.1232,184.84892,593751.3522,181.1254,528624.7009,195.22316,694671.1456
Slovenia,80.778595,199981.7041,82.86102,197560.7539,74.71551,157255.2583,79.85814,169443.9984,80.720924,180731.1744,82.39095,208080.9035,80.00229,167217.4766,77.29536,180976.7432,76.58192,223158.6217
Solomon Islands,1.6141902,12692.17431,1.5197262,7696.973367,1.3884337,23075.39251,1.3345238,8469.854538,1.3268349,35400.16607,1.3894602,32643.42432,1.3684785,26231.85513,1.2975992,35270.04067,1.3393546,38823.45229
Somalia,3.416206,698731.1493,3.416448,474009.8079,3.5448291,709033.1383,3.6269844,387891.6932,3.627606,1095648.094,3.6413927,1007229.68,3.6369123,783231.7816,3.5074317,1017819.524,3.7102253,1291395.821
South Africa,1430.1221,4385783.556,1446.7012,4446158.742,1417.7021,4266332.527,1482.439,3614886.005,1476.9373,4697542.329,1421.1741,4423580.748,1485.7,4189804.367,1392.8961,5097488.262,1406.0925,5348059.128
South Sudan,6.313152,2425488.651,6.5313106,3760770.353,8.003829,3398815.981,7.7284136,3191438.598,6.7726936,2655126.385,6.9831424,2444216.427,7.8094916,2018110.698,7.4576077,2149053.512,7.8676186,2593644.049
Spain,1578.5305,5762822.014,1554.2189,5808595.83,1573.1444,5734816.699,1582.9133,5366663.454,1602.0426,5757715.59,1628.6714,5651619.255,1583.871,5759902.939,1422.96,5805044.421,1530.2695,6616384.182
Sri Lanka,79.214134,146252.2586,85.89107,163440.3574,91.3002,184583.7164,100.87174,179151.1744,106.731476,225545.9635,112.36916,219673.1333,113.03538,214231.3782,106.000435,230173.889,109.63753,250514.8392
Sudan,85.83844,2235169.058,88.02482,2234022.203,91.00936,2273452.744,105.69049,1991408.323,107.986336,3575453.542,107.29716,3280178.468,106.3234,2726454.001,105.689606,3628265.519,105.80567,3836690.173
Suriname,11.753048,261269.4824,11.440299,164006.4489,10.527559,176894.0819,10.940309,127792.958,12.749405,295308.8287,12.877228,275436.6371,12.984192,229810.1211,12.3576,271135.6135,12.43448,274383.8529
Sweden,603.5434,5761417.549,600.7766,7431152.097,622.0618,8110689.175,609.4006,7861079.142,631.34283,7235262.616,609.1949,7999642.651,625.81903,6247370.369,600.27936,6486905.334,633.67957,9701163.151
Switzerland,359.14597,588253.2704,344.43954,502134.4255,336.3216,516160.896,316.24518,498377.4273,316.9949,566978.7766,321.45792,473014.1214,335.947,507587.9252,308.59106,477068.0606,298.0824,590913.7672
Syrian Arab Republic,154.28238,869122.7469,137.03278,828936.5817,122.00345,706027.4758,118.85896,738308.1851,119.593094,1578294.459,139.97821,770679.7156,123.70372,890899.1283,115.59429,925039.9978,117.437904,911435.0446
Tajikistan,61.830788,367655.9997,63.163795,461217.2211,63.24625,369847.958,65.10699,317313.1141,66.41349,447895.3941,70.850876,424409.908,75.084435,437935.7266,74.622086,483717.7511,74.83101,491824.2523
Thailand,1312.8635,2344359.314,1357.1696,2497713.541,1377.446,2636552.743,1405.5717,2767336.295,1432.6826,3067568.977,1478.3762,3083485.249,1479.7451,3330617.446,1375.7584,3547309.567,1386.81,3624238.608
